lag,correlation
-10,0.005736834997489863
-9,-0.011297485503624815
-8,-0.0023946584917779444
-7,0.0067199892642209975
-6,0.004990528242250005
-5,-0.033269383638724837
-4,-0.021831628971936932
-3,-0.014760630138784522
-2,0.041563144314528906
-1,0.01250233620885552
0,0.17351700760969074
1,0.22795574791154982
2,0.016037756469839258
3,-0.005165299555266804
4,-0.02206538764585962
5,-0.021512926349791708
6,-0.011884876735622158
7,0.006442225631871335
8,0.024925557087281062
9,0.007128797301372412
10,-0.01200194632512434
